City,City Population,State Population,State
Birmingham,1143772,4833722,Alabama
Huntsville,441086,4833722,Alabama
Mobile,415123,4833722,Alabama
Montgomery,373141,4833722,Alabama
Anchorage,291826,735132,Alaska
Fairbanks,31535,735132,Alaska
Juneau,31275,735132,Alaska
Sitka,8881,735132,Alaska
Phoenix,1445632,6626624,Arizona
Tucson,520116,6626624,Arizona
Mesa,439041,6626624,Arizona
Chandler,236123,6626624,Arizona
Little Rock,193524,2959373,Arkansas
Fort Smith,86209,2959373,Arkansas
Fayetteville,76899,2959373,Arkansas
Springdale,69797,2959373,Arkansas
Los Angeles,3928864,38332521,California
San Diego,1381069,38332521,California
San Jose,1015785,38332521,California
San Francisco,852469,38332521,California
Fresno,515986,38332521,California
Sacramento,485199,38332521,California
Denver,663862,5268367,Colorado
Colorado Springs,445830,5268367,Colorado
Aurora,353108,5268367,Colorado
Fort Collins,156480,5268367,Colorado
Bridgeport,144229,3596080,Connecticut
New Haven,129779,3596080,Connecticut
Hartford,124775,3596080,Connecticut
Stamford,122643,3596080,Connecticut
Wilmington,71305,925749,Delaware
Dover,36560,925749,Delaware
Newark,31618,925749,Delaware
Middletown,18995,925749,Delaware
Jacksonville,842583,19552860,Florida
Miami,408568,19552860,Florida
Tampa,352957,19552860,Florida
Orlando,255483,19552860,Florida
St. Petersburg,249688,19552860,Florida
Atlanta,456002,9992167,Georgia
Columbus,200887,9992167,Georgia
Augusta,196741,9992167,Georgia
Macon,153691,9992167,Georgia
Honolulu,337256,1404054,Hawaii
East Honolulu,49914,1404054,Hawaii
Pearl City,47698,1404054,Hawaii
Hilo,43263,1404054,Hawaii
Boise,214237,1612136,Idaho
Meridian,85000,1612136,Idaho
Nampa,81557,1612136,Idaho
Idaho Falls,58292,1612136,Idaho
Chicago,2695598,12882135,Illinois
Aurora,197899,12882135,Illinois
Rockford,152871,12882135,Illinois
Joliet,147433,12882135,Illinois
Indianapolis,848788,6570902,Indiana
Fort Wayne,258522,6570902,Indiana
Evansville,120346,6570902,Indiana
South Bend,101190,6570902,Indiana
Des Moines,209220,3090416,Iowa
Cedar Rapids,129195,3090416,Iowa
Davenport,102548,3090416,Iowa
Sioux City,82517,3090416,Iowa
Wichita,388143,2893957,Kansas
Overland Park,184525,2893957,Kansas
Kansas City,149636,2893957,Kansas
Olathe,133062,2893957,Kansas
Louisville,612780,4395295,Kentucky
Lexington,310797,4395295,Kentucky
Bowling Green,62479,4395295,Kentucky
Owensboro,58374,4395295,Kentucky
